date,en,fr,sr,ja,it,da,tr,no,sv,nl,de,ca,ko,fi
2016-11-29,279781689,25182330,790556,34876590,18609978,1055362,5289756,1235722,3859049,5321831,35011243,551347,2529286,2098217
2016-11-30,269196315,24404298,684449,32606578,17128392,955228,5734456,1183667,3181191,5149417,33228391,516346,2447313,1985787
2016-12-01,260066385,22869108,673240,32466576,16429796,994103,4556599,1178091,3133792,5011374,32315455,513336,2301197,1955644
2016-12-02,250255961,21675793,619736,33423604,15501057,918419,4337059,1126711,3204874,4900229,30315876,398354,2219513,1917703
2016-12-03,249758497,23495873,677535,34092626,15511146,843725,4861677,1058630,3023472,4577209,27625980,350339,2247000,1900192
2016-12-04,269615790,28793874,840473,36242428,16859839,951912,5714083,1205320,3274893,5254982,33726098,490411,2595153,2046112
2016-12-05,279924300,27288809,770790,34800384,17297273,1083436,5327041,1270705,3377215,5114030,34169213,479363,2646769,2025102
2016-12-06,277206514,26200302,713320,33939030,16856324,1040547,5147336,1250568,3342337,5038888,33417591,495665,2766406,2770572
2016-12-07,271690225,26653023,752286,35695213,15885741,1093484,5439373,1286342,3414809,5241539,33127164,458126,2691025,2157785
2016-12-08,268541544,26406899,801537,34010213,16931672,1024658,5208608,1197919,3261540,5072193,33474252,423320,2564930,2105566
2016-12-09,253639103,25023584,642016,33244892,16405626,993090,4886927,1149568,3560107,4795738,31225791,423489,2761681,1967795
2016-12-10,242696541,24616639,644125,33463618,16314640,902619,5065612,1036197,3325038,4714385,27979281,404621,2565804,1962725
2016-12-11,261336032,28000946,782509,35369463,18687823,953024,5976439,1159520,3247018,5261564,35021461,462659,2656855,2221020
2016-12-12,273023570,26202557,785076,34465763,17921848,1044764,5598961,1229757,3257584,5261558,35369675,504426,2664366,2091466
2016-12-13,262975748,25099571,801264,34766606,17165394,1029555,5778514,1223142,3175677,5450456,34148793,501434,2548672,2030955
2016-12-14,262107670,25115297,718241,35169402,16929754,1039041,5723116,1193708,3130049,5204526,33857734,516538,2499216,2098855
2016-12-15,249227553,23489799,706774,32417375,16357459,1027656,5452362,1075197,3049211,5188102,32043961,510655,2513155,2113138
2016-12-16,234612388,22287836,615608,31152049,14920464,954713,4962519,1066561,3120405,4494704,28975609,408660,2296431,1934242
2016-12-17,228264373,22413096,649240,33180057,14860672,881426,5763886,944540,2982852,4552003,28300180,351375,2344843,1868824
2016-12-18,259846401,26813473,760408,36295346,17687801,970820,6135275,1056817,3201475,5138286,35525244,472059,2508520,2027400
2016-12-19,273998881,28414804,678791,35418559,17631652,1013883,5975402,1068952,3081173,5174406,39196608,582809,2549972,2073104
2016-12-20,262946920,26542785,693084,34930940,17454461,871563,5894490,961224,2801209,4887646,33446308,522703,2457338,1897857
2016-12-21,255436930,25161860,727383,33605275,16331785,778681,5952699,917927,2707635,4904719,33264932,419693,2391336,1785615
2016-12-22,246234247,22755227,755515,31525546,14104777,724940,5478838,884904,2569883,4589899,29627195,336250,2392493,1748579
2016-12-23,230865393,21658680,658295,35438539,13294425,788565,5463003,922657,2705408,4167342,27802443,367732,2228957,1746285
2016-12-24,234194501,19491133,719000,33850223,12630748,747543,6046284,957178,3013235,4790699,25863571,344869,2194620,2093981
2016-12-25,237753889,21843902,812189,33772371,14403555,1004838,6289263,1281369,3392963,5520130,35186386,334486,2346128,2351373
2016-12-26,260389339,24599368,700024,32840554,18289287,996109,5703992,1215341,3361827,6015392,37603919,386071,2464234,2475428
2016-12-27,274080180,24998721,703707,33634225,18007944,913847,5877319,1219453,3405138,5629091,35500018,412876,2447768,2151822
2016-12-28,274697955,26057391,711116,31603883,18121218,1034929,5815672,1204039,3232829,5479323,36032599,523373,2390308,2228143
2016-12-29,281605235,25998861,666025,32912055,17916752,975494,5632623,1254887,3352961,5491621,34290681,534973,2494395,2425623
2016-12-30,258525316,24524105,562544,33615316,16727027,915604,5179296,1168279,3366817,5044320,32647686,400447,2317819,2052407
2016-12-31,240635052,21279841,539863,35758998,13457121,837014,5603501,995849,2924456,4475170,28809772,318456,2256915,1923550
2017-01-01,257199090,23526251,660842,34656144,16906862,927495,6147745,1133182,3470401,5281113,35721403,316386,2317670,2191786
2017-01-02,289715316,27741015,722761,38006354,19924081,884992,6008915,1041486,3299268,5366129,37589936,398081,2551375,2118569
2017-01-03,287019962,26070013,734766,38913421,20117275,941162,5964060,1174334,3161087,5422972,37645167,419755,2537213,2076383
2017-01-04,278697244,26876275,706783,39310106,19834792,988817,5902622,1247724,3150974,5411869,37934985,409843,2479460,2120931
2017-01-05,279026471,26073362,729863,37994530,19081602,1066287,5972224,1302526,3427098,5317518,37514710,476405,2488418,2087248
2017-01-06,270693165,25506772,765928,37366511,19732851,1017133,5263255,1284762,3651580,5207830,36886784,359738,2386614,2279893
2017-01-07,272476847,25662897,901958,38243301,19021142,992297,6097528,1203941,3589747,5930127,36751831,422502,2393743,2095475
2017-01-08,289987187,29049266,876570,42922022,20507783,1022660,6307397,1238060,3712578,6133094,42394634,495713,2476558,2332893
2017-01-09,297811078,27378899,781057,46146240,19407701,1076217,5549315,1298563,3193439,5740430,40131907,528926,2644604,2187597
2017-01-10,282557196,26697301,755982,38796919,19385867,1118282,5581042,1323091,3292472,5619781,39817842,561627,2623930,2217693
2017-01-11,278248095,26311718,724550,37122976,19151511,1022751,5662505,1255015,3328847,5610731,40464183,555629,2525770,2153293
2017-01-12,276128823,26184532,755063,37063814,18394687,1020336,5595977,1263422,3366754,5584048,38759692,547257,2488069,2196860
2017-01-13,273968564,24542786,744327,37220438,19089295,1010503,5030067,1235401,3725957,5487917,38900721,451460,2392250,2185764
2017-01-14,269994437,25648798,808633,38445677,18452231,971865,5403031,1188451,3505641,5735008,37637757,434073,2385471,2089654
2017-01-15,289171105,28478650,896289,39785693,20846545,1094987,5730423,1122091,3462131,6346583,43226698,590519,2434896,2303164
2017-01-16,299618845,26970643,804133,38095384,19282461,1101608,5244902,1271839,3498927,5991119,41138476,595738,2383013,2290317
2017-01-17,291774842,26596477,848332,37469821,19301270,1055546,5002931,1284008,3495840,5674105,40560289,577046,3096750,2315478
2017-01-18,282653106,26599395,847034,37604393,19075803,1070129,5033432,1300350,3475193,5661619,41522052,562936,2688660,2213552
2017-01-19,281094198,26032603,792244,37141177,18347006,1041656,5047891,1287484,3345205,5738895,38342392,568071,2439173,2181277
2017-01-20,273712611,25015408,710843,37950284,17533429,1062686,4795633,1235212,3639759,5434666,37487978,470696,2291222,2889869
2017-01-21,264983691,24418124,722462,38378755,16986822,906021,5215810,1061512,3440878,5118340,36506416,384146,2200338,3077527
2017-01-22,292964407,28055896,899805,40769252,20365995,1045053,5257912,1156568,3571859,5983947,42694069,522549,2428464,2420611
2017-01-23,299450744,27255219,819252,39725445,19902970,1054369,4894365,1312972,3576219,6626751,40651684,616975,2358274,2404141
2017-01-24,286912309,26532460,808286,38030282,19320768,1032981,4922264,1313057,3389967,6694955,40473096,584039,2331708,2302261
2017-01-25,282298672,26458506,784472,36503226,18886543,986808,5056591,1270720,3329995,6466507,39108478,566977,2190871,2254261
2017-01-26,289850617,25320277,741214,36128811,19086905,1013607,5057031,1253808,3334374,6196021,38957069,540995,2081293,2246731
2017-01-27,268555471,23597530,722726,37463134,18522762,927985,5105292,1225274,3436245,5782019,36141908,442519,2018166,2132038
2017-01-28,271016458,24571535,742464,38312694,18257718,943313,5190381,1120521,3430295,5958096,34800879,399648,2062663,2075767
2017-01-29,291350555,29168188,861431,40277425,20933093,1064653,5123832,1230620,3501475,6989456,41034853,503437,2503773,2274798
2017-01-30,299500828,27993477,772766,37657866,20114664,1079982,4929814,1332711,3398699,5736000,40388442,547862,2619090,2296063
2017-01-31,285510006,25999824,751771,36174982,19505324,1037098,4908340,1287546,3357537,5429584,38304913,528572,2551270,2214342
2017-02-01,279977117,25918116,776864,35484372,18989691,1014878,5172991,1295723,3309404,5328456,37486561,530128,2467834,2136798
2017-02-02,272267741,25089455,745408,35899178,19005663,986605,5000797,1272985,3456284,5174863,36583293,544772,2422719,2109028
2017-02-03,264058228,23611821,689105,36664228,18163235,918227,4880301,1174069,3514807,4963903,35527091,442647,2271865,2036152
2017-02-04,259707343,23796415,728402,38528404,18367049,868943,4918916,1049728,3507648,4731634,34162221,380691,2307777,2058701
2017-02-05,285537420,28270159,797694,40854077,20936629,1055485,5093711,1166598,3638802,5591137,41286931,500238,2565895,2288373
2017-02-06,299438185,26444213,760095,37871622,20607957,1042527,4944396,1362169,3491372,5603609,41450492,561994,2545591,2262630
2017-02-07,285256887,25809985,830602,37773423,20540705,1003455,5106998,1270691,3351110,5425950,38747379,563356,2389799,2239739
2017-02-08,280026138,25938844,822278,37728384,20245656,999575,5482197,1276815,3387092,5590569,37859104,599191,2381756,2159163
2017-02-09,279445823,24669560,812006,38504526,21609011,999791,5414396,1291396,3330399,5779505,37253295,607288,2443619,2122122
2017-02-10,262683602,23985482,751090,36306890,19388633,942912,4986504,1190230,3504143,5117154,35126091,459816,2331923,2062336
2017-02-11,259409618,23756595,757388,38620578,19155742,944221,5650801,999777,3495133,5023959,32930367,408436,2290247,2126771
2017-02-12,285158525,26745901,880581,42254048,21609176,1048252,5918685,1175267,3480602,5596356,42279972,522876,2397743,2239900
2017-02-13,295633626,26161875,805821,39903285,19924871,897318,5498784,1334861,3250460,5450419,40206666,1130163,2414758,2190309
2017-02-14,272347680,24428981,741586,38084773,18597711,852250,5409053,1291681,3056495,5110133,36443920,1504073,2544266,2081581
2017-02-15,276481812,24371091,861840,36336668,18766308,852047,5603658,1271541,3284774,5262274,36081486,969412,2420484,2080558
2017-02-16,270277944,24703545,790874,36329687,18183922,909592,5483855,1256606,3282089,5347565,36021283,591494,2338162,2060000
2017-02-17,256844589,23864304,743081,37870094,18082605,910683,4914775,1176839,3538417,5202429,35398934,489349,2313438,2003938
2017-02-18,255349596,22997040,804052,39320886,18297326,930855,5438594,1028787,3446422,4840122,33998207,513112,2279542,1987423
2017-02-19,279523484,26147782,944878,39469570,19672472,988536,5759725,1135017,3313617,5636484,38989034,491196,2404435,2400893
2017-02-20,292354777,26767348,813745,37505741,19234261,1256587,5585488,1250107,3221795,5593652,39799295,566788,2530103,2448913
2017-02-21,284115741,25546758,797816,36448843,18656653,1276620,5600486,1116995,3189503,5325917,38380952,557560,2448824,2078819
2017-02-22,278198319,25624096,764617,37003653,18139984,1015622,5601203,1078058,3168541,5523265,38320822,573501,2469811,2053827
2017-02-23,267769800,25267015,723115,37236658,17900742,982301,5404848,1032421,3024190,5138931,36267902,509963,2291890,2039199
2017-02-24,258449664,24279883,797481,36545210,17006174,950350,5387955,1039202,3124823,4826044,34826062,420443,2185496,1957426
2017-02-25,257961917,23605093,781109,36588545,16388572,966168,6298621,1042927,3143352,4590197,31551558,369769,2087267,2061287
2017-02-26,288334353,27279154,880779,38668780,18234041,1043648,6548452,1097361,3256941,5209597,38018099,436473,2259959,2269335
2017-02-27,308156045,26790333,759916,35602535,19750626,1070411,5735295,1159563,3149319,5150619,39401065,530884,2287232,2249890
2017-02-28,283697588,25679484,732680,33955654,18776570,989915,5773818,1184497,3200231,5404017,38250791,565211,2243539,3262987
2017-03-01,273828142,25406322,796824,33657393,17737279,959369,5702727,1169507,3198689,5285580,37802661,546259,2345293,2861594
2017-03-02,268935201,24139745,723570,35909988,17731030,976317,5813772,1155761,3264512,5048363,36082436,564357,2178475,2146591
2017-03-03,258540014,23570931,687371,34746052,16942052,899972,5682105,1105552,3223188,4928176,33529089,451277,2138355,2015057
2017-03-04,250948194,23692966,653108,35381000,17192450,838300,5652317,999527,3204226,4804028,31284142,366118,2200972,2413551
2017-03-05,276142985,27245313,1005987,37132733,19269800,962294,5680966,1147835,3480852,5536783,38058706,487419,2285856,2369313
2017-03-06,285320618,25461432,786179,36178006,18651850,1031876,5478955,1270698,3224330,5715426,38670322,571966,2180148,2180736
2017-03-07,278448020,24966574,808381,34670878,18008123,1013552,5567099,1262131,3306390,5383966,37102123,581215,2284900,2114892
2017-03-08,272834694,24937890,775525,33914021,17428349,1077813,5714723,1244687,3281277,5580625,37130147,530519,2219086,2271539
2017-03-09,270854083,23721057,750450,33551161,17146761,956781,5645979,1195057,3343002,5801603,35682414,497881,2195908,2526786
2017-03-10,253765575,21797603,735162,33044083,15748475,883580,5429896,1121192,3258550,6175872,32382741,417860,2289866,2286268
2017-03-11,252396289,21899264,812582,34514321,15640410,780769,6113289,973582,3333039,6247566,30477070,372909,2219549,1880466
2017-03-12,277467829,26546140,902004,35536129,18112545,908663,6494061,1085100,3293432,5914246,35872764,490716,2475648,2091503
2017-03-13,277408231,25164922,816296,35090661,17756228,975915,5741840,1269918,3386441,6206260,36922485,598106,2394291,2433004
2017-03-14,275499945,24200166,808168,34291737,17373730,1014583,5791605,1242211,3390308,6118912,35457584,573833,2395751,2485569
2017-03-15,268412011,24260348,756133,33740970,17146812,950445,5603813,1232217,3217086,6317303,35488281,564420,2347786,2081503
2017-03-16,263317926,23143461,731592,33408479,16899115,962024,5525588,1229256,3295462,5816018,32590503,534866,2294897,2027452
2017-03-17,256323496,23738689,704828,32390476,16023205,913880,5193066,1126476,3268069,6023507,33320493,416486,2254429,1988695
2017-03-18,261568537,24230428,714735,32910265,16101558,784478,5738210,917561,3152687,5813582,32723600,347244,2179329,2009492
2017-03-19,276319027,27558604,859452,35011703,17977261,919110,6173008,1041373,3110854,6687137,38650906,442743,2437685,2239478
2017-03-20,277801413,26980424,741664,36812946,17958250,995363,5672209,1231704,3655367,6618165,38458707,550204,2505824,2158558
2017-03-21,281922805,25376642,720028,35627327,18117621,1066858,5988435,1240357,3304042,6261885,38051787,583180,2398457,2164302
2017-03-22,271012366,25231283,708850,33284818,17656736,941322,5516683,1185303,3356311,5872593,35773945,544347,2377920,2111639
2017-03-23,260601934,23726083,717171,32054668,17916351,930004,5451781,1176290,3146501,5584224,34184238,541156,2266652,2056214
2017-03-24,245566955,22085959,662664,31700885,16753416,880990,5089683,1131535,3082604,4775891,30294054,442456,2126580,1953323
2017-03-25,239863564,21819664,678607,32900300,15883268,811090,5879593,990961,3004492,3965959,27182605,355946,2334392,1939336
2017-03-26,259778385,24129544,838919,36546051,18515901,874262,5922127,1003823,2919122,4529108,33220307,427598,2556798,2058289
2017-03-27,265401507,24156473,754072,33788054,18112259,957032,5989349,1254178,3131121,5022107,34575608,562949,2419496,2105423
2017-03-28,264167894,23739659,712311,32581046,17291092,995656,5398840,1199980,3475849,4880283,33923951,540706,2441116,2299803
2017-03-29,263276748,23411721,710404,32824759,16953883,947070,5310460,1156487,3152852,4801004,33315564,519386,2492705,2027890
2017-03-30,253901928,21824210,690019,33109091,16676725,935451,5174924,1184679,3111324,4437770,32644068,497501,2316100,1995324
2017-03-31,241839575,20851477,641740,33507939,15969109,844739,5466912,1238333,3204979,4407296,28485331,434191,2178226,1940194
2017-04-01,230419522,21138573,639716,32974897,16420824,698287,5625159,941658,3120334,4201651,25497642,359033,2207413,1905022
2017-04-02,251457574,24222542,753558,34545336,19070847,865416,6123273,1015034,3180156,4286187,30505291,450545,2468121,2153465
2017-04-03,272061323,23427575,733000,32192270,17387873,889085,5448593,1161543,3199855,4665860,32358406,595825,2411771,2065402
2017-04-04,262827644,23453556,752692,33295568,17373929,899151,5656221,1167286,3073696,4508199,31734803,520472,2385677,2015235
2017-04-05,255639817,22812347,760593,32319851,16885879,917535,5525160,1153700,3032546,4570121,31292052,550220,2448750,2038631
2017-04-06,254099272,22319830,778096,33089252,16878978,884730,5581499,1117139,3021084,4534927,31047884,758404,2394620,1982239
2017-04-07,242698879,20701691,700102,34363911,16575634,809526,5230463,1012832,2713690,4323551,28747433,349753,2326143,1934623
2017-04-08,233230934,18927367,717738,36214128,15654580,736168,5570931,943278,2786909,3940872,25521416,270513,2225534,1862509
2017-04-09,250629034,21456677,729745,37914435,18038673,872481,6251833,1090858,2750157,3979896,27516108,356812,2594614,2083204
2017-04-10,264154074,23485573,667739,33712182,18249488,778408,5432436,1039477,2767021,4897095,30897487,391466,2428883,2165184
2017-04-11,250240556,22610095,710298,34450576,17614749,783485,5579451,1104314,2879029,4793690,30993620,523929,2360934,2095803
2017-04-12,255669667,22190058,617121,32688388,15709836,839792,5860073,1028551,2843307,4706768,29914174,343367,2357521,1949607
2017-04-13,248450679,21701060,573115,32425026,16099965,858954,5775373,1140984,2926458,4671493,30148897,324915,2302246,1927296
2017-04-14,241546954,20866966,672869,32221011,15919965,861024,4852709,1217849,3192777,4534534,32838225,311879,2208429,1971380
2017-04-15,236139859,20768135,694758,34591734,15592249,888815,5237513,1207020,3169283,4962311,28981402,316506,2220400,2009523
2017-04-16,251794497,22762874,808235,35307791,16553519,937219,5275321,1155321,3247821,5198038,33030785,340294,2474711,2166169
2017-04-17,274086769,24579927,828603,34394575,16750416,944159,6074492,1086565,3248374,6261131,36060372,434145,2520407,2269138
2017-04-18,266916406,23444791,745675,34150972,19547796,951928,5761394,1094067,3077819,4900683,33664794,495529,2411985,2092858
2017-04-19,266664552,23605208,827807,33728581,17875866,987055,5730126,1152086,3047438,4792917,33279846,493229,2307532,2010437
2017-04-20,258896417,22917011,903970,33472833,17537943,975721,5443813,1150192,3107799,4522200,32072864,465399,2257082,2053510
2017-04-21,247393232,21512055,727371,32999272,16318157,932657,5068865,1109568,3130477,4380048,30798016,420420,2092894,2171592
2017-04-22,238820490,21535356,756740,33833937,15534045,767621,5420693,921080,3084714,4168120,29276384,363534,2164377,2095600
2017-04-23,261255081,24226945,876602,35299729,17507988,958964,6027107,1056591,3187217,4901133,35332279,402822,2417482,2192158
2017-04-24,273337637,24410223,738650,33477306,17888215,1055222,5465649,1213895,3233429,4856014,34696094,532033,2330987,2144959
2017-04-25,263350189,24632728,709276,34259896,19567397,1094044,5222723,1156477,3114904,4562319,35022161,529396,2402583,2157155
2017-04-26,257528069,24858344,705461,34821700,18591825,1123412,5461145,1212708,3018462,4348857,33745484,612187,2300446,2122483
2017-04-27,255523347,22944936,692673,32796089,18089061,1043697,5417726,1135994,3030161,4646142,32064422,514238,2206711,2105733
2017-04-28,240484340,21815923,646637,31409606,16444408,883934,4674183,1042685,2953199,4349710,30977153,384279,2005889,1917163
2017-04-29,232167442,20482175,743869,33316865,15829918,775172,1420204,839246,2980172,4117903,27700059,322996,2011277,1991735
2017-04-30,253595855,24826897,681440,34477987,16434733,927205,1190632,941874,2755866,4684729,29149702,411676,2159102,2062620
2017-05-01,275977724,27882093,652108,34701930,19508842,979242,1275006,992724,2820169,5047648,37258937,453387,2165548,2005003
2017-05-02,265862352,24185100,743860,33930109,17809032,945025,1159120,1135404,2939283,4910597,35382058,537214,2136413,2078809
2017-05-03,258532140,24584857,747764,34262172,17580997,930547,1146293,1131120,2979308,4908803,34349212,542245,2139106,2092946
2017-05-04,254563078,23572589,740581,35553972,17503785,977692,1127717,1146232,3055590,5266199,33449174,520522,2102573,2236959
2017-05-05,245278317,21690012,682227,37252844,16106024,888374,1051290,1017470,2908724,4604732,30984794,427514,2095045,2099699
2017-05-06,238331207,22272889,731791,38845997,16523039,870788,1144821,824321,2776156,4140363,26602464,363840,2377914,1862535
2017-05-07,256674077,25567393,850956,38351497,18437416,911919,1150492,1049876,3060173,5035644,34169165,452958,2457157,2265668
2017-05-08,271345148,27052450,783547,35248403,17967374,1017158,1129595,1276050,3238737,5199970,35878426,545064,2266328,2179853
2017-05-09,264175992,24465325,811625,35419453,17418014,1014285,1147608,1246702,3343905,5031684,33771816,611142,2945417,2142427
2017-05-10,256871416,23884100,736721,34391397,17142027,963813,1170353,1248735,3196096,4763277,32028316,540548,2687792,2094088
2017-05-11,251472165,23953168,690360,34458263,17268356,942155,1106054,1187995,3255493,4874055,30910061,538492,2480825,2029275
2017-05-12,236455829,22309310,655089,33868770,16157022,801591,1018437,1057368,3040494,4676829,29284291,433598,2242554,2075873
2017-05-13,232298708,22386582,670975,37000594,15181642,871894,1075471,996048,3043173,4642047,26431244,348339,2190040,2105583
2017-05-14,249109388,26051620,774546,35921525,16615618,872880,1093830,1010666,2963441,4901793,31487192,431545,2431726,2091652
2017-05-15,268622174,24917677,703721,35194612,17616777,910527,1080502,1078805,3139932,4962825,33523404,543218,2350193,2073336
2017-05-16,256905060,22958311,730788,35329957,17705161,939180,1105654,1064592,3038439,4645181,32219265,553069,2398556,2011298
2017-05-17,257516264,26659331,754404,35075187,17510660,937181,1086026,959376,3182296,4607611,29908156,556704,2514400,2176539
2017-05-18,257557979,23974784,667011,34692058,17209260,876417,948298,1265019,2909117,4975471,31087692,555035,2472698,2060902
2017-05-19,241773391,22020945,589039,35005904,16627872,794181,880729,1057225,2806281,5460000,31246594,430919,2187941,1886319
2017-05-20,233969147,20730116,694270,34583240,15721489,842168,920978,929589,2881931,5514467,26592449,386546,2186113,1748860
2017-05-21,250815178,22847073,799987,37031228,17237374,850620,968237,1144466,3006361,5379036,30138436,451105,2508447,2103646
2017-05-22,294194978,23561719,736957,36153603,17733435,897258,915416,1158660,3192711,5242100,32318329,564522,2437313,1955161
2017-05-23,267636853,22902382,753100,36196546,18068512,866116,876953,1098604,3044272,5010118,31594627,560842,2397895,1932496
2017-05-24,249190017,20780487,767107,36165499,17283486,800176,833424,1026299,2754766,4324884,29162681,526121,2342380,1795060
2017-05-25,242354018,20560380,750741,35982935,16928394,761553,914649,975627,2749109,3932698,27353212,507184,3144073,2318153
2017-05-26,228718940,19850451,676084,34653451,15967688,687991,759990,912325,2639404,3733489,25845336,417997,2096756,1905807
2017-05-27,220897663,19700151,655786,34784386,14631319,707716,844545,829498,2678456,3737348,23860638,367970,2185369,1875150
2017-05-28,240063283,23003749,738443,36179866,16481388,952955,926427,1011693,2947680,4747023,29131869,520103,2555410,1881418
2017-05-29,262255929,23546656,706471,36052214,17394744,1022426,943301,1160019,3081078,5279708,32381427,565265,2504924,1867690
2017-05-30,258298146,23789079,675404,35015306,17105961,985108,921961,1294457,3230471,5149804,42899099,607798,3348907,1792040
2017-05-31,286841738,24367000,697766,33114262,16477125,933588,919466,1088927,2934257,4987990,32014397,524585,2382485,1704219
2017-06-01,244044278,22196485,682249,33314885,15350084,848863,864882,1005154,2733992,4634865,30508550,495286,2287701,1677313
2017-06-02,231445886,20543815,614295,33751281,15900644,784362,816402,998789,2609481,4435133,27987819,403685,2915456,1622535
2017-06-03,226987955,21025787,645699,35427992,15406944,824093,859538,965485,2845038,8872277,25930983,331272,2178575,1759311
2017-06-04,243615376,22916407,730634,35813520,17542605,966951,936259,1149524,2930937,5113392,31818832,419587,2368423,1748344
2017-06-05,257693441,23948565,861959,34914524,17950722,1015184,901049,987747,2750783,5303888,33066754,504836,2217599,1725073
2017-06-06,254412119,22590817,797606,34853100,17934124,1148695,860615,1061534,2828130,5295806,33277917,508152,2714728,1592948
2017-06-07,250408135,21979193,716729,35015151,16767460,1097880,871860,1139059,2642979,5159438,32884815,538657,2516529,1508909
2017-06-08,245829937,21035581,689496,34937529,15847589,907823,949691,1060784,2567161,4718327,30348620,509408,2396264,1607525
2017-06-09,238268665,20538185,601897,34214762,15536694,859181,844017,992005,2657161,4684306,29168386,437924,2278085,1571291
2017-06-10,224300608,19174382,601668,34795451,14413014,902521,805834,886979,2619561,4128940,25037940,320193,2424163,1569522
2017-06-11,241797571,22232563,705989,37269433,16074462,878648,846713,950101,2665319,4658969,28754739,384026,2613646,1721737
2017-06-12,258062552,22629096,669802,35899434,16393787,996675,822622,1008594,2714948,5110018,32626980,529553,2524117,1814894
2017-06-13,249088806,21976264,661292,35543736,16179652,948999,819685,971040,2407702,4790515,31863531,485685,2425136,1796373
2017-06-14,238520029,21220934,675979,34024670,15713706,967475,829679,892138,2164519,4467753,29006773,486137,2464576,1580036
2017-06-15,235948603,20489306,666353,34962822,15418137,849321,796634,874015,2802742,4546137,28966945,427788,2358792,1465747
2017-06-16,227245703,19313076,636443,34716703,14862141,802955,791776,862795,3664282,4338310,29195969,331879,2255996,1501928
2017-06-17,221464748,18571817,612856,34729600,14747807,698980,774719,812801,3652494,4022949,26593203,255761,2268417,1502013
2017-06-18,233163958,20224998,728552,36404493,16907384,832246,838165,904470,3681952,4459999,30731974,319523,2519521,1776803
2017-06-19,247399521,21000016,637009,35109110,17200134,839644,790449,855627,3594275,4557931,31571168,364211,2380057,1621222
2017-06-20,241695517,20325889,593201,35065637,16939258,783923,821779,843030,3029906,5458182,31648477,324032,2406447,1727800
2017-06-21,246742513,20637153,607377,36424175,16398904,699278,862908,839593,2766877,4697365,30600814,293575,2346122,1622809
2017-06-22,233912837,20162134,672269,35847766,15662686,664203,851283,833731,2825770,4775951,29926167,267409,2256159,1564895
2017-06-23,225519315,19072315,636229,34941033,15183281,692051,812429,908955,2914277,4418673,28146533,236569,2113868,1512708
2017-06-24,217803545,18512459,604156,35389175,14716581,730293,821602,960480,3440206,4292178,25790628,232904,2259751,1701360
2017-06-25,230026908,19928358,712700,37583605,16536228,857339,748331,961672,3143130,5113432,31999027,276806,2395783,1835868
2017-06-26,238229715,20711125,632493,36323907,16439286,736507,813184,909755,3040207,4965772,32468898,281914,2259073,1758872
2017-06-27,232644768,20886865,632812,35712575,16857598,640581,832803,810855,2719674,4981078,31652694,279699,2113325,1740230
2017-06-28,235281924,20302286,632292,35365416,16350957,652997,806674,765292,2482143,4440251,31211969,279163,2126637,1646613
2017-06-29,231746707,19416193,572989,34750464,15803936,659628,897827,784148,2525252,4169549,30212404,258062,2186189,1540680
2017-06-30,220632550,19573982,557446,33135837,15043778,675245,809776,730707,2620876,4006042,27712937,249491,1960430,1522498
2017-07-01,216145677,18739741,538918,35691295,15048863,663645,792747,741766,2564393,3975177,26871987,229832,1967982,1501878
2017-07-02,227650505,20123813,641240,35486582,16207939,759736,859752,917230,2721202,4505188,32276878,250848,2132084,1732764
2017-07-03,237434172,19979630,609123,34271232,16845338,829103,883753,829746,2669528,4251519,31279861,284957,3594147,1668429
2017-07-04,236337768,18785608,565550,36403522,16512694,869503,859276,819699,2545843,4022729,30762130,306520,2247942,1686756
2017-07-05,235037198,19509471,552643,35217407,15701439,799932,908164,817982,2422592,3896462,29668486,308009,2238068,1676281
2017-07-06,235594884,19021638,541863,34989500,15378351,825443,890652,839221,2399937,3857539,28731898,342135,2166478,1683592
2017-07-07,227693566,17595310,536380,33824458,14898625,866744,884028,894758,2457610,3726479,27841439,269990,2288575,1557094
2017-07-08,223556364,17256004,524972,34812610,14048396,713165,828250,895985,2706989,3721987,24865980,261627,3012759,1540836
2017-07-09,236896942,19458354,585860,38618103,15472659,776618,924107,938728,2796825,4099388,29881170,276422,2215029,1672573
2017-07-10,250953572,20219147,593723,35313763,15696193,799873,956307,894553,2848157,4487873,32305735,344317,3550894,1726267
2017-07-11,242459249,19947334,597132,34885408,15950435,819640,999251,968250,2839117,4446593,31171142,392693,2396781,1847859
2017-07-12,241957244,19585304,585552,34255729,15375567,809107,938046,938941,2744975,4444910,31527359,415166,2310754,1833474
2017-07-13,236797658,18295310,572959,34461458,15098641,704929,953014,879316,2568604,3906062,29221258,332937,3761675,1715343
2017-07-14,227003969,18672302,542611,33630994,14867528,718915,916573,886336,2608506,3988742,27877115,268146,2056054,1623658
2017-07-15,222827537,17801037,530876,34571169,13987713,693510,938397,871166,2561443,3825483,25319617,256556,2087513,1542283
2017-07-16,240521606,19811360,597797,36942954,15886046,902938,970820,979338,3052146,4434465,30833433,265619,2199522,1637340
2017-07-17,245935154,20531072,555995,38699965,15873088,739371,897872,875683,2734116,3993405,30821678,286931,2198944,1805806
2017-07-18,238369178,19602697,553802,36866044,15531752,735178,907832,902394,2658267,3793588,29347899,285250,2198260,1727652
2017-07-19,237238971,20126394,539549,35409862,15231511,678773,981864,829999,2534312,3923388,29045251,288172,2152858,1774793
